date,mktrf,smb,hml,rf,umd
197404,-0.052900,-0.007400,0.008700,0.00750,0.020000
197405,-0.046800,-0.029600,-0.020700,0.00750,-0.002600
197406,-0.028300,-0.001700,0.007900,0.00600,0.023700
197407,-0.080500,0.008400,0.051700,0.00700,0.030100
197408,-0.093500,-0.007200,0.026400,0.00600,0.030000
197409,-0.117700,0.002700,0.055900,0.00810,0.043200
197410,0.161000,-0.034600,-0.098800,0.00510,-0.005000
197411,-0.045100,-0.012200,-0.002000,0.00540,0.021800
197412,-0.034500,-0.048300,0.001100,0.00700,0.029500
197501,0.136600,0.111500,0.082700,0.00580,-0.138900
197502,0.055600,0.001600,-0.044400,0.00430,-0.005500
197503,0.026600,0.037800,0.023900,0.00410,-0.019900
197504,0.042300,-0.006600,-0.011300,0.00440,0.013400
197505,0.051900,0.038400,-0.041000,0.00440,-0.004700
197506,0.048300,0.008600,0.014000,0.00410,0.000600
197507,-0.065900,0.027000,0.016900,0.00480,0.004200
197508,-0.028500,-0.032400,-0.009400,0.00480,-0.001300
197509,-0.042600,-0.001000,0.004300,0.00530,0.003200
197510,0.053100,-0.040100,0.002700,0.00560,-0.001400
197511,0.026400,-0.012100,0.020500,0.00410,-0.004500
197512,-0.016000,-0.007700,0.016900,0.00480,-0.001200
197601,0.121600,0.047800,0.085700,0.00470,0.044600
197602,0.003200,0.070400,0.058200,0.00340,0.003600
197603,0.023200,-0.011800,-0.001100,0.00400,0.001900
197604,-0.014900,-0.001100,-0.001400,0.00420,0.005000
197605,-0.013400,-0.012300,-0.013500,0.00370,-0.011000
197606,0.040500,-0.013000,0.006900,0.00430,-0.004300
197607,-0.010700,0.002900,0.017300,0.00470,-0.001200
197608,-0.005600,-0.020000,0.008100,0.00420,-0.008500
197609,0.020700,-0.000200,-0.002900,0.00440,0.002400
197610,-0.024200,0.002200,-0.001800,0.00410,-0.004800
197611,0.003600,0.023200,0.015100,0.00400,0.029000
197612,0.056500,0.030300,0.022700,0.00400,0.007700
197701,-0.040500,0.047600,0.042700,0.00360,0.039800
197702,-0.019400,0.010400,0.004700,0.00350,0.003500
197703,-0.013700,0.010000,0.010900,0.00380,0.004900
197704,0.001500,-0.001200,0.033800,0.00380,0.042200
197705,-0.014500,0.011800,0.008500,0.00370,0.020100
197706,0.047100,0.020900,-0.007400,0.00400,0.017700
197707,-0.016900,0.021600,-0.005700,0.00420,0.003100
197708,-0.017500,0.014900,-0.027300,0.00440,-0.017800
197709,-0.002700,0.013300,-0.004600,0.00430,0.020600
197710,-0.043800,0.012500,0.018100,0.00490,-0.001300
197711,0.040000,0.037200,0.002300,0.00500,0.021900
197712,0.002700,0.013200,-0.003000,0.00490,0.015600
197801,-0.060100,0.022400,0.033600,0.00490,-0.007200
197802,-0.013800,0.035900,0.008300,0.00460,0.019000
197803,0.028500,0.034800,0.011600,0.00530,0.013700
197804,0.078800,0.004400,-0.035700,0.00540,0.008500
197805,0.017600,0.045600,-0.005300,0.00510,0.028500
