r_me,r_ia,r_roe,r_eg,date
0.8154,-1.3938,0.0845,-0.8697,201502
2.8185,-0.2647,0.8329,-0.0438,201503
-3.7899,-0.8009,-2.1999,-0.2287,201504
1.7454,-0.612,1.431,0.2458,201505
2.8601,-2.4461,1.2486,-0.6719,201506
-4.0756,-2.7366,4.3374,2.6084,201507
0.5025,1.1604,0.7607,0.2645,201508
-3.3863,0.3173,4.2461,3.5211,201509
-2.783,0.6276,-2.3746,0.9405,201510
3.4693,-0.5508,-1.7131,0.58,201511
-2.0882,0.328,2.9245,3.3984,201512
-2.8219,2.7808,5.3238,4.927,201601
0.4861,1.7188,2.0303,-0.1203,201602
1.0415,-0.7057,-2.124,-2.6718,201603
0.1056,1.2916,-7.2351,-5.2126,201604
-0.5063,-2.265,0.9582,2.2364,201605
-0.344,0.5038,0.2568,-0.8126,201606
2.3392,-2.1843,-0.5095,2.1843,201607
0.9644,-0.2141,-2.407,-0.3535,201608
1.0136,0.1735,-3.1863,-0.9704,201609
-3.4325,0.8407,3.023,2.0686,201610
6.4916,2.9221,-1.1025,-2.6294,201611
0.6259,-0.2623,1.5303,0.8035,201612
-1.8649,-2.0777,-1.3198,0.6602,201701
-1.6716,-2.2683,2.0048,2.5131,201702
1.2411,-1.3066,1.8823,1.2285,201703
0.5831,-1.5535,1.0088,1.698,201704
-2.5542,-1.6642,1.3102,2.7073,201705
3.0582,-0.4968,-1.2898,-1.9384,201706
-1.1228,-0.4286,1.5346,1.0364,201707
-1.3984,-2.8241,0.4656,1.489,201708
4.9016,3.1284,0.4497,-1.8047,201709
-1.0351,-2.8548,2.1725,2.9301,201710
0.2014,-0.4969,1.8734,1.0773,201711
-0.9112,1.7456,0.32,-1.0246,201712
-2.7743,-1.2889,-1.311,2.6186,201801
0.1904,-1.6939,-0.7678,4.4816,201802
2.8151,-0.1073,0.1924,0.4884,201803
0.2795,1.5935,-0.0284,-0.6712,201804
4.8832,-1.0828,-1.8755,2.184,201805
0.6193,-0.401,1.4364,0.1352,201806
-1.3143,0.4756,1.9894,1.4399,201807
1.4294,-2.3366,0.3831,4.2025,201808
-3.1075,1.4074,0.6121,1.0374,201809
-4.7667,4.173,1.2908,-0.6419,201810
-0.8438,-0.9544,0.678,2.7817,201811
-3.0474,-0.8171,1.3676,2.407,201812
2.0408,-1.0013,-4.0039,-7.0874,201901
1.1463,-2.5696,0.5352,1.2165,201902
-3.3272,-0.5071,-0.03,0.6663,201903
-0.2264,-2.5247,2.0762,1.1616,201904
-1.9093,1.4836,0.7589,0.2028,201905
-0.4931,-0.2628,-0.1023,-0.1506,201906
-1.6066,0.1759,0.545,1.1233,201907
-4.1711,-0.9978,1.8592,1.4864,201908
1.4265,2.9913,1.7211,-1.9594,201909
0.8627,-0.6509,0.7618,1.8217,201910
0.0403,-1.0363,-1.2912,-0.5705,201911
1.2718,1.7989,-1.3059,-0.733,201912
-4.7187,-2.3977,-0.3876,2.504,202001
-1.3564,-2.2162,-0.5094,1.5774,202002
-8.4158,2.1208,5.9911,11.507,202003
3.2996,-0.1082,-1.9954,-1.956,202004
2.4917,-3.7035,-0.5004,0.7126,202005
2.3143,0.2768,1.2001,1.5554,202006
-1.4363,-1.3047,3.2258,1.5931,202007
-2.3063,-2.8534,-0.8682,-1.6505,202008
0.3254,-2.1992,1.2255,0.6656,202009
2.793,-0.7387,-2.4671,-0.8514,202010
4.3248,3.0672,-14.46,-9.7226,202011
4.3816,-2.7001,-3.5415,-0.8961,202012
